family,instance,n_vars,n_clauses,algorithm,solver,order,backbone_size,backbone_hash,expected_size,calls,free,rounds,load_time,solve_time,error,naive_calls,saving,matches_expected
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_1.cnf,100,429,complement,cadical153,index,50,854f673b942a7f2c,50.0,39,0,38,0.0017235999694094062,0.01698389940429479,,200,0.8049999999999999,True
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_10.cnf,100,429,propagate,cadical153,index,50,18e4fb2db87f4e05,50.0,48,9,47,0.0018208000110462308,0.018620499642565846,,200,0.76,True
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_10.cnf,100,429,complement,cadical153,index,50,18e4fb2db87f4e05,50.0,16,0,15,0.0017392999725416303,0.015705899917520583,,200,0.92,True
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_100.cnf,100,429,propagate,cadical153,index,50,f00fa37092ec90d8,50.0,41,17,40,0.0017836999613791704,0.012514699366874993,,200,0.795,True
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_100.cnf,100,429,complement,cadical153,index,50,f00fa37092ec90d8,50.0,15,0,14,0.0017109999898821115,0.013148900121450424,,200,0.925,True
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_101.cnf,100,429,propagate,cadical153,index,50,e7515c7d3f13f67b,50.0,35,22,34,0.0017855999758467078,0.025158800184726715,,200,0.825,True
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_101.cnf,100,429,complement,cadical153,index,50,e7515c7d3f13f67b,50.0,18,0,17,0.0019834000850096345,0.015193799510598183,,200,0.91,True
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_0.cnf,100,429,propagate,cadical153,index,70,7e92e2eb17a4dbeb,70.0,34,46,33,0.002609299961477518,0.013071099645458162,,200,0.83,True
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_0.cnf,100,429,complement,cadical153,index,70,7e92e2eb17a4dbeb,70.0,30,0,29,0.0017550999764353037,0.015286800335161388,,200,0.85,True
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_1.cnf,100,429,propagate,cadical153,index,70,cb8e20e43aa62b88,70.0,41,42,40,0.0017707999795675278,0.02396229957230389,,200,0.795,True
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_1.cnf,100,429,complement,cadical153,index,70,cb8e20e43aa62b88,70.0,23,0,22,0.0028526000678539276,0.014143200125545263,,200,0.885,True
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_10.cnf,100,429,propagate,cadical153,index,70,4322d37918dd116d,70.0,41,35,40,0.0018705000402405858,0.045069399289786816,,200,0.795,True
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_10.cnf,100,429,complement,cadical153,index,70,4322d37918dd116d,70.0,11,0,10,0.002781699993647635,0.04035440005827695,,200,0.945,True
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_100.cnf,100,429,propagate,cadical153,index,70,be7c9a2c56416849,70.0,36,43,35,0.002818400040268898,0.024149500066414475,,200,0.8200000000000001,True
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_100.cnf,100,429,complement,cadical153,index,70,be7c9a2c56416849,70.0,16,0,15,0.002751799998804927,0.018632099963724613,,200,0.92,True
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_101.cnf,100,429,propagate,cadical153,index,70,eaadb3e7973c807e,70.0,46,33,45,0.0030358999501913786,0.021351100294850767,,200,0.77,True
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_101.cnf,100,429,complement,cadical153,index,70,eaadb3e7973c807e,70.0,21,0,20,0.0017577999969944358,0.019706100109033287,,200,0.895,True
CBS_k3_n100_m429_b90,CBS_k3_n100_m429_b90_0.cnf,100,429,propagate,cadical153,index,90,69ba24fbbdb4b8bd,90.0,20,75,19,0.0017553000943735242,0.008664299733936787,,200,0.9,True
CBS_k3_n100_m429_b90,CBS_k3_n100_m429_b90_0.cnf,100,429,complement,cadical153,index,90,69ba24fbbdb4b8bd,90.0,12,0,11,0.0018066000193357468,0.006836000015027821,,200,0.94,True
CBS_k3_n100_m429_b90,CBS_k3_n100_m429_b90_1.cnf,100,429,propagate,cadical153,index,90,a052307c9e5241df,90.0,22,75,21,0.0019469000399112701,0.017246500123292208,,200,0.89,True
CBS_k3_n100_m429_b90,CBS_k3_n100_m429_b90_1.cnf,100,429,complement,cadical153,index,90,a052307c9e5241df,90.0,12,0,11,0.0018391999183222651,0.013242300017736852,,200,0.94,True
CBS_k3_n100_m429_b90,CBS_k3_n100_m429_b90_10.cnf,100,429,propagate,cadical153,index,90,0c897aa0447cb064,90.0,26,71,25,0.0018990000244230032,0.02485960000194609,,200,0.87,True
CBS_k3_n100_m429_b90,CBS_k3_n100_m429_b90_10.cnf,100,429,complement,cadical153,index,90,0c897aa0447cb064,90.0,11,0,10,0.001640500035136938,0.021524999989196658,,200,0.945,True
CBS_k3_n100_m429_b90,CBS_k3_n100_m429_b90_100.cnf,100,429,propagate,cadical153,index,90,02397c0396bc61bd,90.0,21,74,20,0.002615800010971725,0.009796999860554934,,200,0.895,True
CBS_k3_n100_m429_b90,CBS_k3_n100_m429_b90_100.cnf,100,429,complement,cadical153,index,90,02397c0396bc61bd,90.0,12,0,11,0.0017874999903142452,0.01100400008726865,,200,0.94,True
CBS_k3_n100_m429_b90,CBS_k3_n100_m429_b90_101.cnf,100,429,propagate,cadical153,index,90,66f8e746a190a588,90.0,29,66,28,0.002154099987819791,0.010934100369922817,,200,0.855,True
CBS_k3_n100_m429_b90,CBS_k3_n100_m429_b90_101.cnf,100,429,complement,cadical153,index,90,66f8e746a190a588,90.0,11,0,10,0.0017570999916642904,0.00906480010598898,,200,0.945,True
CBS_k3_n100_m449_b10,CBS_k3_n100_m449_b10_0.cnf,100,449,propagate,cadical153,index,10,390cf14afd72c030,10.0,32,0,31,0.0031201000092551112,0.028086999896913767,,200,0.84,True
CBS_k3_n100_m449_b10,CBS_k3_n100_m449_b10_0.cnf,100,449,complement,cadical153,index,10,390cf14afd72c030,10.0,55,0,54,0.001882400014437735,0.03930949966888875,,200,0.725,True
CBS_k3_n100_m449_b10,CBS_k3_n100_m449_b10_1.cnf,100,449,propagate,cadical153,index,10,4681fd637e732c66,10.0,33,0,32,0.0030320000369101763,0.02219650032930076,,200,0.835,True
CBS_k3_n100_m449_b10,CBS_k3_n100_m449_b10_1.cnf,100,449,complement,cadical153,index,10,4681fd637e732c66,10.0,60,0,59,0.0026759000029414892,0.023102399776689708,,200,0.7,True
CBS_k3_n100_m449_b10,CBS_k3_n100_m449_b10_10.cnf,100,449,propagate,cadical153,index,10,648201978ae8ff7e,10.0,25,0,24,0.002495200023986399,0.02738920005504042,,200,0.875,True
CBS_k3_n100_m449_b10,CBS_k3_n100_m449_b10_10.cnf,100,449,complement,cadical153,index,10,648201978ae8ff7e,10.0,58,0,57,0.0018042000010609627,0.03557209961581975,,200,0.71,True
CBS_k3_n100_m449_b10,CBS_k3_n100_m449_b10_100.cnf,100,449,propagate,cadical153,index,10,d5cf405d3dec275e,10.0,30,0,29,0.002837299951352179,0.023975800373591483,,200,0.85,True
CBS_k3_n100_m449_b10,CBS_k3_n100_m449_b10_100.cnf,100,449,complement,cadical153,index,10,d5cf405d3dec275e,10.0,42,0,41,0.0017453000182285905,0.029145299922674894,,200,0.79,True
CBS_k3_n100_m449_b10,CBS_k3_n100_m449_b10_101.cnf,100,449,propagate,cadical153,index,10,e7c873b0c1e05778,10.0,24,0,23,0.0018416999373584986,0.032669100211933255,,200,0.88,True
CBS_k3_n100_m449_b10,CBS_k3_n100_m449_b10_101.cnf,100,449,complement,cadical153,index,10,e7c873b0c1e05778,10.0,52,0,51,0.0018986000213772058,0.04244590038433671,,200,0.74,True
CBS_k3_n100_m449_b30,CBS_k3_n100_m449_b30_0.cnf,100,449,propagate,cadical153,index,30,371b409d285c1678,30.0,37,1,36,0.0017938000382855535,0.019933999748900533,,200,0.815,True
