family,instance,vars,algorithm,true_size,reported_size,missing,extra,identical,check_calls
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_100.cnf,100,complement,30,30,0,0,True,201
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_101.cnf,100,propagate,30,30,0,0,True,201
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_101.cnf,100,complement,30,30,0,0,True,201
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_0.cnf,100,propagate,50,50,0,0,True,201
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_0.cnf,100,complement,50,50,0,0,True,201
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_1.cnf,100,propagate,50,50,0,0,True,201
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_1.cnf,100,complement,50,50,0,0,True,201
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_10.cnf,100,propagate,50,50,0,0,True,201
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_10.cnf,100,complement,50,50,0,0,True,201
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_100.cnf,100,propagate,50,50,0,0,True,201
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_100.cnf,100,complement,50,50,0,0,True,201
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_101.cnf,100,propagate,50,50,0,0,True,201
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_101.cnf,100,complement,50,50,0,0,True,201
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_0.cnf,100,propagate,70,70,0,0,True,201
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_0.cnf,100,complement,70,70,0,0,True,201
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_1.cnf,100,propagate,70,70,0,0,True,201
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_1.cnf,100,complement,70,70,0,0,True,201
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_10.cnf,100,propagate,70,70,0,0,True,201
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_10.cnf,100,complement,70,70,0,0,True,201
CBS_k3_n100_m429_b70,CBS_k3_n100_m429_b70_100.cnf,100,propagate,70,70,0,0,True,201
