source,puzzle,n_terms,n_letters,longest_word,base,distinct,mode,solver,n_vars,n_clauses,solutions,calls,unique,matches_published,encode_time,solve_time,error,total_time
language,PLI+LISP+COBOL=SIMULA,3,10,6,10,True,all,cadical153,1219,4071,1,2,True,True,0.0008616999257355928,0.004009899916127324,,0.004871599841862917
language,PLI+LISP+MODULA=PASCAL,3,10,6,10,True,all,cadical153,1251,4162,1,2,True,True,0.0007749999640509486,0.006849600002169609,,0.007624599966220558
language,PLI+PERL+GOFER=ERLANG,3,10,6,10,True,all,cadical153,1219,4071,1,2,True,True,0.0007627999875694513,0.0017603999003767967,,0.002523199887946248
language,PLI+ALGOL+BASIC=PASCAL,3,9,6,10,True,all,cadical153,1252,4176,1,2,True,True,0.0007830000249668956,0.011499099899083376,,0.012282099924050272
language,PLI+ALGOL+BASIC=PROLOG,3,10,6,10,True,all,cadical153,1271,4293,1,2,True,True,0.0008212000830098987,0.034072899958118796,,0.034894100041128695
language,PLI+ALGOL+BASIC=SNOBOL,3,10,6,10,True,all,cadical153,1271,4293,1,2,True,True,0.0008676999714225531,0.023439700016751885,,0.02430739998817444
language,PLI+ALGOL+LOGIC=MODULA,3,10,6,10,True,all,cadical153,1271,4293,1,2,True,True,0.0008261000039055943,0.012111200019717216,,0.01293730002362281
language,PLI+ALGOL+PROLOG=MODULA,3,10,6,10,True,all,cadical153,1305,4397,1,2,True,True,0.0008928999304771423,0.03148300002794713,,0.03237589995842427
language,PLI+ALGOL+SIMULA=MODULA,3,10,6,10,True,all,cadical153,1305,4397,1,2,True,True,0.0008568000048398972,0.01823699998203665,,0.019093799986876547
language,PLI+BASIC+COBOL=PROLOG,3,10,6,10,True,all,cadical153,1271,4293,1,2,True,True,0.0008308999240398407,0.022262000013142824,,0.023092899937182665
language,PLI+BASIC+LOGIC=PASCAL,3,9,6,10,True,all,cadical153,1252,4176,1,2,True,True,0.0008158000418916345,0.010603500180877745,,0.01141930022276938
language,PLI+BASIC+LOGIC=PROLOG,3,10,6,10,True,all,cadical153,1271,4293,1,2,True,True,0.0008737000171095133,0.022647500038146973,,0.023521200055256486
language,PLI+BASIC+PASCAL=SIMULA,3,9,6,10,True,all,cadical153,1286,4280,1,2,True,True,0.000838699983432889,0.033745499909855425,,0.034584199893288314
language,PLI+BASIC+PASCAL=SNOBOL,3,9,6,10,True,all,cadical153,1286,4280,1,2,True,True,0.0009011999936774373,0.03529460006393492,,0.03619580005761236
language,PLI+COBOL+LOGIC=PROLOG,3,8,6,10,True,all,cadical153,1233,4069,1,2,True,True,0.0007974000182002783,0.008590599987655878,,0.009388000005856156
language,PLI+COBOL+PASCAL=SIMULA,3,10,6,10,True,all,cadical153,1305,4397,1,2,True,True,0.0009323999984189868,0.02082720003090799,,0.021759600029326975
