instance,verdict,dpll_decisions,crh_decisions,wbh_decisions,bsh_decisions
uf50-0291,SAT,137,2,2,2
uf50-0292,SAT,1076,8,8,8
uf50-0293,SAT,56,3,3,3
uf50-0294,SAT,537,4,5,5
uf50-0295,SAT,795,9,5,5
uf50-0296,SAT,407,3,3,3
uf50-0297,SAT,172,5,2,3
uf50-0298,SAT,447,7,7,6
uf50-0299,SAT,13,2,5,2
uf50-03,SAT,46,5,2,2
uf50-030,SAT,1101,3,6,4
uf50-0300,SAT,271,3,3,3
uf50-0301,SAT,1104,5,5,2
uf50-0302,SAT,456,5,5,4
uf50-0303,SAT,75,6,6,3
uf50-0304,SAT,54,4,5,5
uf50-0305,SAT,348,5,1,1
uf50-0306,SAT,242,9,7,4
uf50-0307,SAT,39,6,6,6
uf50-0308,SAT,35,8,6,8
uf50-0309,SAT,314,1,1,1
uf50-031,SAT,416,3,5,8
uf50-0310,SAT,48,3,2,2
uf50-0311,SAT,11,2,2,2
uf50-0312,SAT,451,6,1,2
uf50-0313,SAT,374,2,5,5
uf50-0314,SAT,79,2,2,2
uf50-0315,SAT,142,2,7,4
uf50-0316,SAT,255,2,1,1
uf50-0317,SAT,90,1,1,1
uf50-0318,SAT,223,6,6,4
uf50-0319,SAT,462,4,4,4
uf50-032,SAT,38,9,9,9
uf50-0320,SAT,41,6,6,6
uf50-0321,SAT,700,8,8,4
uf50-0322,SAT,954,4,1,1
uf50-0323,SAT,1177,3,3,3
uf50-0324,SAT,546,1,1,1
uf50-0325,SAT,302,3,8,8
uf50-0326,SAT,537,3,3,3
uf50-0327,SAT,727,4,4,6
uf50-0328,SAT,46,7,5,5
uf50-0329,SAT,904,3,1,3
uf50-033,SAT,331,9,7,7
uf50-0330,SAT,860,3,3,2
uf50-0331,SAT,842,3,4,5
uf50-0332,SAT,715,1,1,1
uf50-0333,SAT,349,4,2,2
uf50-0334,SAT,131,7,7,2
uf50-0335,SAT,190,1,1,1
uf50-0336,SAT,765,2,1,1
uf50-0337,SAT,747,5,3,3
uf50-0338,SAT,92,5,5,7
uf50-0339,SAT,213,4,4,4
uf50-034,SAT,263,5,5,5
uf50-0340,SAT,140,1,2,2
uf50-0341,SAT,742,3,3,6
uf50-0342,SAT,97,1,2,2
uf50-0343,SAT,98,2,2,3
uf50-0344,SAT,272,7,4,4
uf50-0345,SAT,612,3,1,1
uf50-0346,SAT,22,4,5,7
uf50-0347,SAT,520,9,7,7
uf50-0348,SAT,30,3,3,3
uf50-0349,SAT,689,1,2,2
uf50-035,SAT,308,3,3,3
uf50-0350,SAT,54,2,5,5
uf50-0351,SAT,430,4,4,4
uf50-0352,SAT,1631,3,3,2
uf50-0353,SAT,514,7,7,5
uf50-0354,SAT,267,6,6,5
uf50-0355,SAT,517,4,1,1
uf50-0356,SAT,39,1,6,6
uf50-0357,SAT,268,3,3,5
uf50-0358,SAT,271,2,1,1
uf50-0359,SAT,642,4,2,2
uf50-036,SAT,190,4,4,6
uf50-0360,SAT,97,1,1,4
uf50-0361,SAT,97,3,3,3
uf50-0362,SAT,47,7,7,7
uf50-0363,SAT,447,2,10,7
uf50-0364,SAT,86,6,6,6
uf50-0365,SAT,159,4,4,4
uf50-0366,SAT,670,1,1,3
uf50-0367,SAT,266,1,1,1
uf50-0368,SAT,65,3,2,3
